HDU,Name,DataType,MinBitDepth,Multiplicity,Required,Description,Comments
0,PRIMARY,PrimaryHDU,,False,True,EPRV Standard FITS HEADER (no data),Carried forward from L2 FITS file
1,INSTRUMENT_HEADER,ImageHDU,,False,True,Inherited instrument header (no data),Carried forward from L2 FITS file
2,RECEIPT,BinTableHDU,,False,True,Table of operations that have been performed on this file
3,DRP_CONFIG,BinTableHDU,,False,True,Pipeline details (settings etc) to go from native data to L2
4,ORDER_TABLE,BinTableHDU,,TRUE,TRUE,Table capturing the wavelength extent of each order, Required columns: physical echelle order; index echelle order; start wavelength [64bit]; end wavelength [64bit]
5,STITCHED_CORR_TRACE1_FLUX,ImageHDU,,True,True,Order stitched blaze-corrected flux in trace 1,This flux array stitches together all orders and has been blaze corrected
6,STITCHED_CORR_TRACE1_WAVE,ImageHDU,64,True,True,Order stitched BC- and drift-corrected wavelength solution for trace 1,This wavelength solution stitches together all orders adn has been both drift and barycentric corrected
7,STITCHED_CORR_TRACE1_VAR,ImageHDU,,True,True,Order stitched variance for the flux in STITCHED_CORR_TRACE1_FLUX,This variance array stitches together all orders and is based on the blaze corrected flux (STITCHED_CORR_TRACE1_FLUX)
8,COMBINED_STITCHED_CORR_FLUX,ImageHDU,,True,True,Order stitched and blaze-corrected flux co-added across all traces,This flux array stitches together all orders and co-adds all traces and has been blaze corrected
9,COMBINED_STITCHED_CORR_WAVE,ImageHDU,64,True,True,Order stitched BC- and drift-corrected wavelength solution,This wavelength solution stitches together all orders and has been both drift and barycentric corrected
10,COMBINED_STITCHED_CORR_VAR,ImageHDU,,True,True,Order stitched variance for the combined flux in COMBINED_STITCHED_CORR_FLUX,This variance array stitches together all orders and is based on the co-added and blaze corrected flux (STITCHED_COMBINED_CORR_FLUX)
11,STITCHED_CUSTOMCORR1_TRACE1_FLUX,ImageHDU,,True,False,Additional corrections made to STITCHED_CORR_TRACE1_FLUX,This could include additional corrections such as telluric or sky corrections
12,STITCHED_CUSTOMCORR1_TRACE1_WAVE,ImageHDU,,True,False,Wavelength solution corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Wavelength solution corresponding to the flux array in STITCHED_CUSTOMCORR1_TRACE1_FLUX
13,STITCHED_CUSTOMCORR1_TRACE1_VAR,ImageHDU,,True,False,Variance corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Variance of the CUSTOMCORR1_TRACE1_FLUX flux array
14,COMBINED_STITCHED_CUSTOMCORR1_FLUX,ImageHDU,,True,False,Additional corrections made to COMBINED_STITCHED_CORR_FLUX,This could include additional corrections such as telluric or sky corrections
15,COMBINED_STITCHED_CUSTOMCORR1_WAVE,ImageHDU,,True,False,Wavelength solution corresponding to COMBINED_STITCHED_CORR_WAVE,Wavelength solution corresponding to the flux array in COMBINED_STITCHED_CUSTOMCORR1_FLUX
16,COMBINED_STITCHED_CUSTOMCORR1_VAR,ImageHDU,,True,False,Variance corresponding to COMBINED_STITCHED_CORR_VAR,Variance of the COMBINED_STITCHED_CUSTOMCORR1_FLUX flux array
