Name,Required,MinBitDepth,Description
BJD_TDB,Yes,64,BJD in barycentric dynamical time
RV,Yes,,radial velocity
RV_ERR,Yes,,uncertainty in radial velocity
BERV,Yes,,barycentric earth radial velocity
WAVE_START,Yes,64,start wavelength of RV
WAVE_END,Yes,64,end wavelength of RV
PIXEL_START,No,,start pixel of RV
PIXEL_END,No,,end pixel of RV
ORDER_INDEX,No,,order index (0-based)
ECHELLE_ORDER,No,,physical echelle order number
WEIGHT,No,,RV weight
RESIDUAL_DRIFT,No,,residual instrumental drift
