standard,required,expres
INSTRUME,Y,INSTRMNT
ORGANIZA,N,
ORIGIN,N,
DATALVL,Y,
OBSERVER,Y,OBSERVER
PROGRAM,N,PROGRAM
PINAME,N,
OBSTYPE,Y,OBSTYPE
OBSMODE,N,
READMODE,N,
BINNING,Y,CCDBIN
NUMTRACE,Y,
NUMORDER,,NAXIS2
OBJECT,Y,OBJECT
ALIASES,N,
FILENAME,Y,
DATE,Y,
DATE-OBS,Y,DATE-SHT
JD_UTC,Y,
EXPTIME,Y,AEXPTIME
TRACE1,Y,OBJECT
CLSRC1,Y,OBJECT
CSRC1,Y,
CID1,Y,
CRA1,Y,REQRA
CDEC1,Y,REQDEC
CEQNX1,Y,EQUNIOX
CEPCH1,Y,
CPLX1,N,
CPMR1,N,
CPMD1,N,
CRV1,N,
CZ1,N,
CCLR1,N,
OBSERVAT,Y,TELESCP
TELESCOP,Y,TELESCP
OBSLON,Y,SITELONG
OBSLAT,Y,SITELAT
OBSALT,Y,SITEELEV
SEEING,N,
AIRMASS,N,AMBEG
TTIME,N,
TEQNX,N,
TEPCH,N,
TLST1,N,
TRA1,N,
TDEC1,N,
TEL1,N,
TZA1,N,
TAZ1,N,
THA1,N,
PARANG,N,
PARANG2,N,
ROTANG,N,
SUNEL,N,
MOONANG,N,MOONDIST
MOONEL,N,
MOONILLU,N,
MOONRV,N,
INHUM,N,
INHUMT,N,
OUTTMP,N,
OUTTMPT,N,
OUTHUM,N,
OUTHUMT,N,
ENVWINDS,N,
ENVWINDD,N,
DRPTAG,Y,VERSION
EPRVTAG,Y,
VOCLASS,Y,
DRPHASH,N,
INSTERA,Y,
EXTRACT,N,EXTNAME
FULLCOMP,Y,
TELFLAG,N,
INSTFLAG,N,
DRPFLAG,N,
ADDFLAG,N,
OBSFLAG,N,
SUMMFLAG,Y,
DQLVL0,Y,
DQLVL1,Y,
DQLVL2,Y,
