STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT
INSTRUME,PRIMARY,INSTRMNT,PRIMARY,
ORGANIZA,PRIMARY,,,Yale
ORIGIN,PRIMARY,,,LDT
DATALVL,PRIMARY,,,2
OBSERVER,PRIMARY,OBSERVER,PRIMARY,
PROGRAM,PRIMARY,PROGRAM,PRIMARY,
PINAME,PRIMARY,,,
OBSTYPE,PRIMARY,OBSTYPE,PRIMARY,
OBSMODE,PRIMARY,,,
READMODE,PRIMARY,READSPED,PRIMARY,
BINNING,PRIMARY,CCDBIN,PRIMARY,1x1
NUMTRACE,PRIMARY,,,1
NUMORDER,PRIMARY,NAXIS2,PRIMARY,
OBJECT,PRIMARY,OBJECT,PRIMARY,
ALIASES,PRIMARY,OBJECT,PRIMARY,
FILENAME,PRIMARY,,PRIMARY,
DATE,PRIMARY,DATE,PRIMARY,
DATE-OBS,PRIMARY,DATE-OBS,PRIMARY,
JD_UTC,PRIMARY,,,
EXPTIME,PRIMARY,AEXPTIME,PRIMARY,
TRACE1,PRIMARY,OBJECT,PRIMARY,
CLSRC1,PRIMARY,OBJECT,PRIMARY,
CSRC1,PRIMARY,,,
CID1,PRIMARY,,,
CRA1,PRIMARY,REQRA,PRIMARY,
CDEC1,PRIMARY,REQDEC,PRIMARY,
CEQNX1,PRIMARY,,,
CPLX1,PRIMARY,,,
CPMR1,PRIMARY,,,
CPMD1,PRIMARY,,,
CRV1,PRIMARY,,,0
CZ1,PRIMARY,,,0
CCLR1,PRIMARY,,,
OBSERVAT,PRIMARY,TELESCOP,PRIMARY,
TELESCOP,PRIMARY,TELESCOP,PRIMARY,
OBSLON,PRIMARY,SITELONG,,
OBSLAT,PRIMARY,SITELAT,,
OBSALT,PRIMARY,SITEELEV,,
SEEING,,,
AIRMASS,PRIMARY,AMBEG,PRIMARY,
TTIME,,,
TEQNX,,,
TEPCH,,,
TLST1,,,
TRA1,,,
TDEC1,,,
TEL1,,,
TZA1,,,
TAZ1,,,
THA1,,,
PARANG,,,
PARANG2,,,
ROTANG,,,
SUNEL,,,
MOONANG,PRIMARY,MOONDIST,PRIMARY,
MOONEL,,,
MOONILLU,,,
MOONRV,,,
INHUM,,,
INHUMT,,,
OUTTMP,PRIMARY,,,
OUTTMPT,PRIMARY,,,
OUTHUM,PRIMARY,,,
OUTHUMT,PRIMARY,,,
ENVWINDS,PRIMARY,,,
ENVWINDD,PRIMARY,,,
DRPTAG,PRIMARY,VERSION,PRIMARY,
EPRVTAG,PRIMARY,,,
VOCLASS,PRIMARY,,,
DRPHASH,PRIMARY,DRPHASH,PRIMARY,
INSTERA,PRIMARY,INSTERA,,
EXTRACT,PRIMARY,EXTNAME,,
EXSNR1,PRIMARY,,PRIMARY,100
EXSNRW1,,,,
FULLCOMP,PRIMARY,,,
TELFLAG,PRIMARY,,,
INSTFLAG,PRIMARY,,,
DRPFLAG,PRIMARY,,,
ADDFLAG,PRIMARY,,,
OBSFLAG,PRIMARY,,,
SUMMFLAG,PRIMARY,,,
DQLVL0,PRIMARY,,,
DQLVL1,PRIMARY,,,
DQLVL2,PRIMARY,,,
