physical_order 	central_wav(nm) 	y_central_col(pix) 	y_central_col(arcsec) 	FSRrange(nm) 	FSRlMin(nm) 	FSRlMax(nm) 	start_wav(nm) 	end_wav(nm) 	TSrange(nm)
89 	687.76 	1984 	496 	7.72 	683.43 	691.15 	683.59 	691.30 	7.71
90 	680.12 	1885 	471 	7.55 	675.88 	683.43 	676.00 	683.62 	7.62
91 	672.65 	1788 	447 	7.39 	668.49 	675.88 	668.57 	676.11 	7.54
92 	665.34 	1694 	423 	7.23 	661.26 	668.49 	661.31 	668.76 	7.45
93 	658.19 	1601 	400 	7.07 	654.19 	661.26 	654.20 	661.57 	7.37
94 	651.19 	1510 	378 	6.92 	647.27 	654.19 	647.24 	654.54 	7.29
95 	644.34 	1421 	355 	6.78 	640.49 	647.27 	640.43 	647.65 	7.22
96 	637.63 	1334 	334 	6.64 	633.86 	640.49 	633.77 	640.91 	7.14
97 	631.06 	1249 	312 	6.50 	627.35 	633.86 	627.23 	634.30 	7.07
98 	624.62 	1165 	291 	6.37 	620.99 	627.36 	620.84 	627.83 	6.99
99 	618.31 	1083 	271 	6.24 	614.75 	620.99 	614.57 	621.49 	6.92
100 	612.13 	1003 	251 	6.12 	608.63 	614.75 	608.42 	615.28 	6.85
101 	606.07 	924 	231 	6.00 	602.63 	608.63 	602.40 	609.19 	6.78
102 	600.13 	847 	212 	5.88 	596.75 	602.63 	596.50 	603.21 	6.72
103 	594.31 	771 	193 	5.77 	590.99 	596.75 	590.71 	597.36 	6.65
104 	588.59 	697 	174 	5.66 	585.33 	590.99 	585.03 	591.62 	6.59
105 	582.99 	624 	156 	5.55 	579.79 	585.33 	579.46 	585.98 	6.52
106 	577.49 	552 	138 	5.44 	574.34 	579.79 	573.99 	580.46 	6.46
107 	572.09 	482 	121 	5.34 	569.00 	574.34 	568.63 	575.03 	6.40
108 	566.80 	413 	103 	5.24 	563.75 	569.00 	563.37 	569.71 	6.34
109 	561.60 	345 	86 	5.15 	558.61 	563.76 	558.20 	564.48 	6.28
