Era,Start_JD,End_JD
1.0.0,2459093.5,2459106.5
2.0.0,2459180.5,2459183.5
3.0.0,2459262.5,2459276.5
4.0.0,2459319.5,2459333.5
5.0.0,2459354.5,2459368.5
6.0.0,2459436.5,2459448.5
7.0.0,2459513.5,2459540.5
8.0.0,2459661.5,2459695.5
9.0.0,2459722.5,2459731.5
10.0.0,2459767.5,2459805.5
11.0.0,2460115.5,2460135.5
12.0.0,2460226.5,2460244.5
13.0.0,2460268.5,2460276.5
14.0.0,2460282.5,2460311.5
15.0.1,2460362.5,2460423.5
15.0.2,2460433.5,2460473.5
15.0.3,2460479.5,2460554.5
15.0.4,2460565.5,2460596.5
15.0.5,2460627.5,2460765.5
15.1.6,2460768.5,2460932.5
15.1.7,2460933.5,2461047.5
15.1.8,2461048.5,
