STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT
INSTRUME,PRIMARY,,PRIMARY,
ORGANIZA,PRIMARY,,,Gemini-North
ORIGIN,PRIMARY,,,Gemini-North
DATALVL,PRIMARY,,,
OBSERVER,PRIMARY,,PRIMARY,UNDEFINED
PROGRAM,PRIMARY,MAROONX TELESCOPE PROGRAMID,PRIMARY,
PINAME,PRIMARY,,,
OBSTYPE,PRIMARY,,PRIMARY,
OBSMODE,PRIMARY,,,
READMODE,PRIMARY,,,
BINNING,PRIMARY,,,1x1
NUMTRACE,PRIMARY,,,
NUMORDER,PRIMARY,,,
OBJECT,PRIMARY,MAROONX TELESCOPE TARGETNAME,PRIMARY,
ALIASES,PRIMARY,,,
FILENAME,PRIMARY,,,
DATE,PRIMARY,,PRIMARY,UNDEFINED
DATE-OBS,PRIMARY,MAROONX TELESCOPE TIME,PRIMARY,
JD_UTC,PRIMARY,JD_UTC_START,PRIMARY,
EXPTIME,PRIMARY,EXPTIME,PRIMARY,
TRACE1,PRIMARY,FIBER1,PRIMARY,
TRACE2,PRIMARY,,PRIMARY,Target
TRACE3,PRIMARY,,PRIMARY,Target
TRACE4,PRIMARY,,PRIMARY,Target
TRACE5,PRIMARY,FIBER5,PRIMARY,
TRACE6,PRIMARY,,PRIMARY,VIRTUAL
CLSRC1,PRIMARY,FIBER1,PRIMARY,
CLSRC2,PRIMARY,,,
CLSRC3,PRIMARY,,,
CLSRC4,PRIMARY,,,
CLSRC5,PRIMARY,FIBER5,PRIMARY,
CLSRC6,PRIMARY,,,
CSRC1,PRIMARY,,,
CSRC2,PRIMARY,,,
CSRC3,PRIMARY,,,
CSRC4,PRIMARY,,,
CSRC5,PRIMARY,,,
CID1,PRIMARY,,,
CID2,PRIMARY,,,
CID3,PRIMARY,,,
CID4,PRIMARY,,,
CID5,PRIMARY,,,
CRA1,PRIMARY,,,
CRA2,PRIMARY,MAROONX TELESCOPE TARGETRA,PRIMARY,
CRA3,PRIMARY,MAROONX TELESCOPE TARGETRA,PRIMARY,
CRA4,PRIMARY,MAROONX TELESCOPE TARGETRA,PRIMARY,
CRA5,PRIMARY,,,
CDEC1,PRIMARY,,,
CDEC2,PRIMARY,MAROONX TELESCOPE TARGETDEC,PRIMARY,
CDEC3,PRIMARY,MAROONX TELESCOPE TARGETDEC,PRIMARY,
CDEC4,PRIMARY,MAROONX TELESCOPE TARGETDEC,PRIMARY,
CDEC5,PRIMARY,,,
CEQNX1,PRIMARY,,,
CEQNX2,PRIMARY,,,
CEQNX3,PRIMARY,,,
CEQNX4,PRIMARY,,,
CEQNX5,PRIMARY,,,
CEPCH1,PRIMARY,,,
CEPCH2,PRIMARY,,,
CEPCH3,PRIMARY,,,
CEPCH4,PRIMARY,,,
CEPCH5,PRIMARY,,,
CRV1,PRIMARY,,,
CRV2,PRIMARY,,,
CRV3,PRIMARY,,,
CRV4,PRIMARY,,,
CRV5,PRIMARY,,,
CPLX1,PRIMARY,,,
CPLX2,PRIMARY,,,
CPLX3,PRIMARY,,,
CPLX4,PRIMARY,,,
CPLX5,PRIMARY,,,
CPMR1,PRIMARY,,,
CPMR2,PRIMARY,,,
CPMR3,PRIMARY,,,
CPMR4,PRIMARY,,,
