STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT,MODE_DEP
INSTRUME,PRIMARY,INSTRUME,PRIMARY,,N
ORGANIZA,PRIMARY,,,CC-0,N
ORIGIN,PRIMARY,ORIGIN,PRIMARY,astropy.io.fits,N
DATALVL,PRIMARY,,,L2,N
OBSERVER,PRIMARY,OBSERVER,PRIMARY,,N
PROGRAM,PRIMARY,PROGRAM,PRIMARY,,N
PINAME,PRIMARY,PINAME,PRIMARY,,N
OBSTYPE,PRIMARY,OBSTYPE,PRIMARY,,N
OBSMODE,PRIMARY,OBS-MODE,PRIMARY,,N
READMODE,PRIMARY,,,,N
BINNING,PRIMARY,,,1x1,N
NUMTRACE,PRIMARY,,,,Y
NUMORDER,PRIMARY,,,122,N
OBJECT,PRIMARY,OBJECT,PRIMARY,,N
ALIASES,PRIMARY,,,,N
FILENAME,PRIMARY,,,,N
DATE,PRIMARY,DATE,PRIMARY,,N
DATE-OBS,PRIMARY,DATE-OBS,PRIMARY,,N
JD_UTC,PRIMARY,OBSJD,PRIMARY,,N
EXPTIME,PRIMARY,EXPTIME,PRIMARY,,N
TRACE1,PRIMARY,,,,Y
TRACE2,PRIMARY,,,,Y
TRACE3,PRIMARY,,,,Y
CLSRC1,PRIMARY,,,None,N
CLSRC2,PRIMARY,,,None,N
CLSRC3,PRIMARY,,,,Y
CSRC1,PRIMARY,,,,Y
CSRC2,PRIMARY,,,,Y
CID1,PRIMARY,,,,Y
CID2,PRIMARY,,,,Y
CRA1,PRIMARY,,,,Y
CRA2,PRIMARY,,,,Y
CDEC1,PRIMARY,,,,Y
CDEC2,PRIMARY,,,,Y
CEQNX1,PRIMARY,,,,Y
CEQNX2,PRIMARY,,,,Y
CEPCH1,PRIMARY,,,,Y
CEPCH2,PRIMARY,,,,Y
CPLX1,PRIMARY,,,,Y
CPLX2,PRIMARY,,,,Y
CPMR1,PRIMARY,,,,Y
CPMR2,PRIMARY,,,,Y
CPMD1,PRIMARY,,,,Y
CPMD2,PRIMARY,,,,Y
CRV1,PRIMARY,,,,Y
CRV2,PRIMARY,,,,Y
CZ1,PRIMARY,,,,Y
CZ2,PRIMARY,,,,Y
CCLR1,PRIMARY,,,,Y
CCLR2,PRIMARY,,,,Y
OBSERVAT,PRIMARY,OBSERVAT,PRIMARY,KPNO,N
TELESCOP,PRIMARY,TELESCOP,PRIMARY,WIYN 3.5m,N
NUMTEL,PRIMARY,,,1,N
TELEID1,PRIMARY,,,WIYN 3.5m,N
GEOSYS,PRIMARY,,,WGS84,N
OBSLON,PRIMARY,OBSLON,PRIMARY,-111.600562,N
OBSLAT,PRIMARY,OBSLAT,PRIMARY,31.958092,N
OBSALT,PRIMARY,OBSALT,PRIMARY,2091.0,N
OBSGEO-X,PRIMARY,,,-1994656.25114426,N
OBSGEO-Y,PRIMARY,,,-5037782.2384612,N
OBSGEO-Z,PRIMARY,,,3357596.3936042,N
ISSOLAR,PRIMARY,,,FALSE,N
SEEING,PRIMARY,SEEING,PRIMARY,,N
AIRMASS,PRIMARY,AIRMASS,PRIMARY,,N
TTIME,PRIMARY,TCSTIME,PRIMARY,,N
TEQNX,PRIMARY,TCSEQNX,PRIMARY,,N
TEPCH,PRIMARY,TCSEPOCH,PRIMARY,,N
TLST1,PRIMARY,TCSLST,PRIMARY,,N
TRA1,PRIMARY,TCSRA,PRIMARY,,N
TDEC1,PRIMARY,TCSDEC,PRIMARY,,N
TEL1,PRIMARY,TCSEL,PRIMARY,,N
TZA1,PRIMARY,TCSZA,PRIMARY,,N
TAZ1,PRIMARY,TCSAZ,PRIMARY,,N
THA1,PRIMARY,TCSHA,PRIMARY,,N
PARST1,PRIMARY,,,,N
PAREND1,PRIMARY,,,,N
ROTANG,PRIMARY,,,,N
SUNEL,PRIMARY,,,,N
MOONANG,PRIMARY,MOONAGL,PRIMARY,,N
MOONEL,PRIMARY,,,,N
MOONILLU,PRIMARY,,,,N
MOONRV,PRIMARY,,,,N
INHUM,PRIMARY,ENVDHUM,PRIMARY,,N
INHUMT,PRIMARY,ENVTIME,PRIMARY,,N
OUTTMP,PRIMARY,ENVOTMP,PRIMARY,,N
OUTTMPT,PRIMARY,ENVTIME,PRIMARY,,N
OUTHUM,PRIMARY,ENVOHUM,PRIMARY,,N
OUTHUMT,PRIMARY,ENVTIME,PRIMARY,,N
ENVWINDS,PRIMARY,ENVWINDS,PRIMARY,,N
ENVWINDD,PRIMARY,ENVWINDD,PRIMARY,,N
DRPTAG,PRIMARY,E_VER,PRIMARY,,N
EPRVTAG,PRIMARY,,,,N
VOCLASS,PRIMARY,,,,N
DRPHASH,PRIMARY,E_GIT,PRIMARY,,N
INSTERA,PRIMARY,,,,N
EXTRACT,PRIMARY,EXTRACT,PRIMARY,,N
EXSNR1,PRIMARY,EXTSNR,PRIMARY,,N
EXSNRW1,PRIMARY,EXTSNRWL,PRIMARY,,N
FULLCOMP,PRIMARY,,,,N
TELFLAG,PRIMARY,,,,N
INSTFLAG,PRIMARY,,,,N
DRPFLAG,PRIMARY,,,,N
ADDFLAG,PRIMARY,,,,N
OBSFLAG,PRIMARY,,,,N
SUMMFLAG,PRIMARY,,,,N
DQLVL0,PRIMARY,DQLEVEL0,PRIMARY,,N
DQLVL1,PRIMARY,DQLEVEL1,PRIMARY,,N
DQLVL2,PRIMARY,DQLEVEL2,PRIMARY,,N
