Keyword,ESO_keyword,value,Extension,from,comment,skip,Description
INSTRUME,INSTRUME,,PRIMARY,S2D_BLAZE_A,,False,Instrument name
ORGANIZA,,ESO,PRIMARY,S2D_BLAZE_A,,False,Organization the data belongs to
ORIGIN,ORIGIN,,PRIMARY,,,False,Institution that created this file
DATALVL,,L2,PRIMARY,,,False,Data Product Base Level
OBSERVER,,UNKNOWN,PRIMARY,,,False,Observer
PROGRAM,HIERARCH ESO OBS PROG ID,,PRIMARY,S2D_BLAZE_A,,False,Observing program name
PINAME,PI-COI,,PRIMARY,S2D_BLAZE_A,,False,Program PI Name
OBSTYPE,HIERARCH ESO DPR CATG,,PRIMARY,RAW,,False,Observation type
OBSMODE,HIERARCH ESO INS MODE,,PRIMARY,S2D_BLAZE_A,,False,Observing mode
READMODE,HIERARCH ESO DET READ CURNAME,,PRIMARY,S2D_BLAZE_A,,False,Readout method
BINNING,,,PRIMARY,S2D_BLAZE_A,,True,Binning Mode
NUMTRACE,,,PRIMARY,,,True,Iterator for Number of Object related keywords
NUMORDER,NUMORDER,,PRIMARY,CONFIG,,False,Number of Orders
OBJECT,OBJECT,,PRIMARY,S2D_BLAZE_A,,False,Original target
ALIASES1,HIERARCH ESO OBS NAME,,PRIMARY,S2D_BLAZE_A,,False,OB name 
ALIASES2,HIERARCH ESO OBS TARG NAME,,PRIMARY,S2D_BLAZE_A,,False,OB name 
FILENAME,,,PRIMARY,,,True,Name of the FITS file
DATE,DATE,,PRIMARY,,,True,[UTC] Last modification date of this file
DATE-OBS,DATE-OBS,,PRIMARY,S2D_BLAZE_A,,False,[UTC] Date at start of exposure
JD_UTC,MJD-OBS,,PRIMARY,S2D_BLAZE_A,,True,[day] Julian date of DATE-OBS
EXPTIME,EXPTIME,,PRIMARY,S2D_BLAZE_A,,False,[s] Exposure time
TRACE,,,,,,True,Type of object in trace
CLSRC,HIERARCH ESO PRO REC1 RAW1 CATG,,PRIMARY,S2D_BLAZE_A,,True,Name of calibration source in trace
CSRC,gaia_source,,PRIMARY,Simbad,,True,Catalog source for obj in trace
CID,gaia_name,,PRIMARY,Simbad,,True,Catalog DR2/3 name for obj in trace
CRA,HIERARCH ESO TEL TARG ALPHA,,PRIMARY,S2D_BLAZE_A,,True,[sexa] Catalog right ascension for obj in trace
