index_order,physical_order,start_wav(nm),end_wav(nm)
1,148,972.2,985.8
2,147,978.8,992.5
3,146,985.5,999.3
4,145,992.3,1006.2
5,144,999.2,1013.2
6,143,1006.2,1020.3
7,142,1013.3,1027.5
8,141,1020.5,1034.8
9,140,1027.8,1042.2
10,139,1035.2,1049.7
11,138,1042.7,1057.3
12,137,1050.3,1065.0
13,136,1058.0,1072.8
14,135,1065.8,1080.8
15,134,1073.8,1088.8
16,133,1081.9,1097.0
17,132,1090.1,1105.3
18,131,1098.4,1113.8
19,130,1106.8,1122.3
20,129,1115.4,1131.0
21,128,1124.1,1139.9
22,127,1133.0,1148.8
23,126,1142.0,1158.0
24,125,1151.1,1167.2
25,124,1160.4,1176.6
26,123,1169.8,1186.2
27,122,1179.4,1195.9
28,121,1189.2,1205.8
29,120,1199.1,1215.8
30,119,1209.2,1226.1
31,118,1219.4,1236.4
32,117,1229.9,1247.0
33,116,1240.5,1257.8
34,115,1251.3,1268.7
35,114,1262.2,1279.8
36,113,1273.4,1291.1
37,112,1284.8,1302.7
38,111,1296.4,1314.4
39,110,1308.2,1326.3
40,109,1320.2,1338.5
41,108,1332.4,1350.9
42,107,1344.9,1363.5
43,106,1357.6,1376.4
44,105,1368.9,1387.9
45,104,1380.2,1399.4
46,103,1391.7,1411.0
47,102,1403.3,1422.7
48,101,1415.0,1434.5
49,100,1426.8,1446.4
50,99,1438.7,1458.4
51,98,1450.7,1470.5
52,97,1462.8,1482.7
53,96,1475.0,1494.9
54,95,1487.3,1507.2
55,94,1499.7,1519.6
56,93,1512.2,1532.2
57,92,1524.8,1544.9
58,91,1537.5,1557.7
59,90,1550.3,1570.6
60,89,1563.2,1583.6
61,88,1576.2,1596.7
62,87,1589.3,1609.9
63,86,1602.5,1623.2
64,85,1615.8,1636.6
65,84,1629.2,1650.1
66,83,1642.7,1663.7
67,82,1656.3,1677.4
68,81,1669.9,1691.1
69,80,1683.6,1704.9
70,79,1697.4,1718.8
71,78,1711.3,1732.7
